DATE,REVENUE,EBITDA_MARGIN,TAX_EXPENSE_MARGIN,CAPEX_MARGIN,CHNG_WC_MARGIN,REVENUE_GROWTH,EBITDA_GROWTH,CAPEX_GROWTH,TB3M,TB10YR,FIRM_VALUE,NON_OP_ASSETS,WADS,PRICE
2018-03-01,4530.03,0.055193011966808175,-0.010843416048017345,0.03650704299971524,0.013486224153040903,0.04772845648648305,0.009051938312081509,-0.058168696828072686,1.56,2.7585245901639346,2896.13907,-1244.877,11.567,135.13
2017-12-01,4323.668000000001,0.06366862580568164,-0.009214629800437963,0.03876176431677917,0.00443651085143446,0.07045888431496405,0.006613503917392238,0.021224125648055647,1.2066666666666668,2.371451612903226,3210.97069,-1336.874,11.539000000000001,172.67
2017-09-01,4039.079,0.06982037241658308,0.007221448255901902,0.03795617763356448,0.05194501023624443,0.0841474121754433,0.004568381920704523,-0.1324293273112337,1.0366666666666666,2.2414285714285715,3746.9298200000003,-1206.79,11.607000000000001,215.26
2017-06-01,3725.581,0.0740504635384387,0.008197647561548118,0.04374995470505138,0.013850993979194105,0.09683207749698686,-0.001226507049026715,-0.1567543727319245,0.89,2.260952380952381,3674.0602500000005,-1248.407,11.607000000000001,215.75
2017-03-01,3396.674,0.07291338527041454,0.011021369728151714,0.051882812421798506,0.01740997222577147,0.07611325206847752,0.006257433726206685,-0.045183706012846825,0.59,2.4466129032258066,3735.10739,-1169.8500000000001,11.607000000000001,228.87
2016-12-01,3156.428,0.07867849353763179,0.011420821257446707,0.05433800485865669,0.008374973229232556,0.07559640480558749,0.012551807600921894,-0.12439768688768471,0.43,2.1386885245901643,3402.6393,-1103.789,11.497,206.02
2016-09-01,2934.584,0.090099390918781,0.007355386657870418,0.062057858967403894,0.07044098925094666,0.08512987536431882,0.002946034910645823,-0.08959431281466412,0.2966666666666667,1.564375,2969.21825,-1020.018,11.565,178.85
2016-06-01,2704.362,0.09277211593714153,0.007603641820140942,0.06816506074260767,0.011173799957254291,0.09105763151959878,-0.0025744967995566803,0.006146026376693703,0.25666666666666665,1.75015625,2628.3174,-900.8180000000001,11.565,148.16
2016-03-01,2478.661,0.09043043199533943,0.011089455153407425,0.0677486755954122,0.013554899197590942,0.07466123380525458,-0.0031639218287374815,-0.035411523639822806,0.2866666666666667,1.9142622950819672,2520.7911,-914.847,11.565,144.82
2015-12-01,2306.458,0.08754349092851463,0.014775036007592592,0.0702358334727968,0.02162970234012499,0.08417772095253317,0.0023374037113812474,0.17962442497085607,0.12333333333333335,2.190483870967742,2544.4554799999996,-861.8779999999998,11.455,159.76
2015-09-01,2127.38,0.08967129661837565,0.015474903402307066,0.05954084366685783,-0.06906617529543381,0.08194787031150663,0.0006594433174083036,0.1291030983928323,0.04,2.223125,2746.98973,-703.5409999999999,11.523,182.51
2015-06-01,1966.25,0.09027121118881118,0.014357279084551814,0.05273286713286713,0.025524221233312116,0.08570213799805648,0.0023270209529993036,-0.010666711291629771,0.02,2.164375,2834.60699,-643.9270000000002,11.523,189.13
2015-03-01,1811.04,0.09238325437317783,0.010633116883116881,0.05330141796978532,0.023199377153458774,0.03703169261479089,-0.006444174042118278,0.12606539804357486,0.02666666666666667,1.9688524590163932,2347.40714,-655.262,11.523,148.98
2014-12-01,1746.3690000000001,0.08649647869379265,0.011186639249780545,0.047334211727303906,0.0167100996410266,0.027234792961222887,-0.0020664601467380583,0.05467075573806146,0.02333333333333333,2.275967741935484,1848.98317,-635.18,11.493,111.57
2014-09-01,1700.068,0.08460485110007362,0.009047285167416834,0.04488055771886772,0.01793692958164028,0.013842572051505853,0.0019300207788071067,0.17963309969324492,0.02666666666666667,2.49953125,1570.2325499999997,-568.048,11.481,88.55
2014-06-01,1676.856,0.08636817949782212,0.007590991713063018,0.03804620074711246,0.0034844971780522514,0.018522050436052373,-0.001387072290665592,0.11711614122126512,0.03333333333333333,2.6209523809523807,1411.7584700000002,-553.5899999999999,11.481,73.87
2014-03-01,1646.362,0.08509914587435811,0.006981453653570721,0.034057515904764565,-0.004475929352110896,0.00306519525921356,0.0034360769354451204,0.010916822871150256,0.04666666666666667,2.7654098360655737,1401.42256,-563.657,11.481,74.56
2013-12-01,1641.331,0.0882320506954417,0.007397654708282486,0.03368973107800925,0.003289403538957103,0.004674682039598643,0.001780768450887038,-0.012102892973682389,0.06333333333333334,2.7441935483870967,1308.9625,-547.636,11.450999999999999,85.25
2013-09-01,1633.694,0.0898528120933296,0.010535020634219136,0.034102469617933354,0.018252500162209074,0.009022997557262213,-0.0013542524065592865,0.009208331438862905,0.03333333333333333,2.7065625,1356.97222,-520.4,9.25,72.98
2013-06-01,1619.085,0.08861857160062628,0.01213401396467758,0.033791308053622876,0.03672815201178442,-0.0010575031203745588,0.0016770322828389972,0.020817831618651583,0.05,1.98625,1280.88104,-522.154,11.439,63.36
2013-03-01,1620.799,0.090144428766306,0.012254449811481868,0.03310219219039499,0.03971621404011231,0.003943180051448447,0.00289340239599567,0.029617591024120538,0.08666666666666667,1.9509999999999998,1277.61465,-556.106,11.439,61.15
