DATE,REVENUE,EBITDA_MARGIN,TAX_EXPENSE_MARGIN,CAPEX_MARGIN,CHNG_WC_MARGIN,REVENUE_GROWTH,EBITDA_GROWTH,CAPEX_GROWTH,TB3M,TB10YR,FIRM_VALUE,NON_OP_ASSETS,WADS,PRICE
2018-03-01,21735.0,0.3418292260409478,0.049551414768806076,0.1270301357257879,-0.0168391994478951,-0.04633407924180599,-0.035159830880507004,0.21034440774516394,1.56,2.7585245901639346,214160.05000000002,-57815.0,4643.0,32.81
2017-12-01,22791.0,0.3178447632837524,0.035891360624808036,0.10495370979772717,0.22267561756833837,0.03997262149212877,-0.014149827707955254,-0.28525153815500603,1.2066666666666668,2.371451612903226,221532.93000000002,-59789.0,4705.0,34.17
2017-09-01,21915.0,0.3080538443988136,-0.5299110198494182,0.14684006388318505,-0.0005475701574264203,0.04441690892627359,0.06671854992136472,0.08567479226951091,1.0366666666666666,2.2414285714285715,251010.84999999998,-59943.0,4729.0,40.05
2017-06-01,20983.0,0.3513320306915122,0.06734022780345994,0.13525234713815945,0.09317066196444741,-0.008599102291519056,-0.023954388567173024,0.04208806959561162,0.89,2.260952380952381,244802.31999999998,-59692.0,4777.0,38.48
2017-03-01,21165.0,0.33541223718403024,0.06444601937160406,0.12978974722419087,-0.1708008504606662,0.03430582026095874,0.012542579890044703,0.06491082495934952,0.59,2.4466129032258066,246357.44,-59752.0,4809.0,38.92
2016-12-01,20463.0,0.34364462688755315,0.06147681180667546,0.12187851243708156,0.06572838782192249,-0.026730083234244972,-0.03185970817390238,-0.17232050258732567,0.43,2.1386885245901643,239734.80000000002,-58296.0,4832.0,37.59
2016-09-01,21025.0,0.32204518430439955,0.06273483947681331,0.14725326991676577,-0.11243757431629013,-0.013790515502603351,0.0013384173350774464,0.10850722505491861,0.2966666666666667,1.564375,226504.55,-58551.0,4820.0,34.525
2016-06-01,21319.0,0.32295135794361834,0.06566912144096815,0.13283925137201558,0.0006566912144096815,0.10638849966267072,0.017315212397412516,-0.026737819510506466,0.25666666666666665,1.75015625,214011.64,-58644.0,4862.0,33.17
2016-03-01,19269.0,0.33447506357361567,0.06632414759458197,0.13648866054284084,0.0560485754320411,0.025492283129324056,0.006617850394571523,0.133284105877145,0.2866666666666667,1.9142622950819672,211048.78,-51744.0,4892.0,32.595
2015-12-01,18790.0,0.338850452368281,0.0697711548696115,0.1204364023416711,0.1048962213943587,-0.023642504546635523,-0.019207350329728534,-0.25014604883032665,0.12333333333333335,2.190483870967742,202249.47999999998,-50551.0,4924.0,30.54
2015-09-01,19245.0,0.32590283190439073,0.06037931930371525,0.1606131462717589,-0.0008833463237204468,0.0308532861963684,0.007987187118696726,0.24109554128620325,0.04,2.223125,185845.86,-50710.0,4962.0,28.215
2015-06-01,18669.0,0.3312443087471209,0.06550966843430285,0.12941239487921152,-0.08634634956344743,-0.0039481406391719265,0.011008866039096121,0.026481810080855706,0.02,2.164375,187294.28,-44658.0,5004.0,28.44
2015-03-01,18743.0,0.338526383183055,0.07005281971936189,0.12607373419409912,0.07122659126073734,0.049851565563210576,0.0009568131067061447,0.12596016836780977,0.02666666666666667,1.9688524590163932,196108.84,-43331.0,5062.0,30.07
2014-12-01,17853.0,0.33915868481487704,0.07063238671371758,0.11196997703467204,-0.09533411751526354,0.006823821339950298,-0.0032291424921232492,-0.23133889555601828,0.02333333333333333,2.275967741935484,189286.3,-42391.0,5112.0,28.235
2014-09-01,17732.0,0.3370178208887886,0.06282427250169186,0.1456688472817505,-0.04122490412812994,0.05604192722291712,0.011092985418378776,0.0987985690511557,0.02666666666666667,2.49953125,194334.16,-43029.0,5180.0,29.005
2014-06-01,16791.0,0.3442915847775594,0.024239175748913107,0.13257102018938718,0.0866535644095051,-0.003146521016385684,0.004433661877663697,0.07979993426984411,0.03333333333333333,2.6209523809523807,183376.84,-42580.0,5232.0,26.89
2014-03-01,16844.0,0.34718594158157207,0.07326050819282831,0.12277368796010449,-0.050047494656851106,-0.032398897058823484,-0.0412395909096438,0.2836302462519513,0.04666666666666667,2.7654098360655737,183285.6,-42043.0,5256.0,26.84
2013-12-01,17408.0,0.3191061580882353,0.0642233455882353,0.09564568014705882,0.06186810661764706,0.02847689944464138,0.021612371970439748,-0.35681415090619095,0.06333333333333334,2.7441935483870967,173802.08,-41302.0,5290.0,25.02
2013-09-01,16926.0,0.33351057544605933,0.05825357438260664,0.14870613257710033,0.024932057190121707,0.04798464491362764,-0.0052240369678684395,0.013397783650948236,0.03333333333333333,2.7065625,177549.97,-41096.0,5304.0,25.9825
2013-06-01,16151.0,0.3300105256640456,0.0632158999442759,0.14674013992941615,0.03764472788062659,-0.007314074984634322,0.005138658132409324,0.350374477744118,0.05,1.98625,158802.59000000003,-39427.0,5316.0,22.5575
2013-03-01,16270.0,0.3334357713583282,0.06441303011677935,0.10866625691456669,0.022618315918869085,0.06270411495754402,-0.006899733310237965,-0.4170706400273244,0.08666666666666667,1.9509999999999998,151297.25,-38526.0,5332.0,20.875
2012-12-01,15310.0,0.32880470280862184,0.060418027433050296,0.18641410842586545,-0.6212932723709993,-0.03934241074229783,0.003455858474577189,0.4936559306098629,0.08666666666666667,1.7070491803278691,153120.26,-39616.0,5350.0,20.99
2012-09-01,15937.0,0.3311162703143628,0.048817217795068084,0.12480391541695426,0.15975403149902742,-0.03669003868471954,-0.04074094799590988,0.1645549783745579,0.10333333333333332,1.6412698412698412,141803.08000000002,-40320.0,5374.0,18.68
2012-06-01,16544.0,0.3027079303675048,0.08492504835589942,0.10716876208897486,0.30941731141199225,0.08763394911577138,0.03914075352012181,0.07458407391918032,0.08666666666666667,1.82578125,143338.16499999998,-40819.0,5406.0,17.8725
2012-03-01,15211.0,0.3289724541450266,0.05331667871934784,0.09973045822102426,0.12418644402077444,0.022382040596854447,-0.020260272106938815,0.09262868734344543,0.06666666666666668,2.04,134490.68,-46219.0,5434.0,15.985
2011-12-01,14878.0,0.31509611506922974,0.0504100013442667,0.09127570910068558,-0.1081462562172335,-0.010902805477994937,0.020234129246251342,-0.30341490802003424,0.013333333333333334,2.0467213114754097,131367.41,-46765.0,5488.0,15.005
2011-09-01,15042.0,0.3286796968488233,0.0532508974870363,0.13103310729956122,0.0595665470017285,0.04902712880954052,-0.012812857462339955,0.161956540240203,0.02333333333333333,2.41421875,113181.31,-49110.0,5482.0,11.855
2011-06-01,14339.0,0.31996652486226373,0.044563777111374575,0.11276937024897134,-0.08487342213543483,0.00041861438638113313,0.023191244924330556,0.11933752339231729,0.04666666666666667,3.2014285714285715,102902.88,-47718.0,5522.0,10.46
2011-03-01,14333.0,0.3353798925556408,0.07074583129840228,0.10074652898904626,0.12928207632735644,0.18181068601583106,0.013263691148358125,-0.005814561774488913,0.12666666666666668,3.4574193548387098,116526.7,-44557.0,5578.0,12.67
2010-12-01,12128.0,0.34407981530343007,0.04914248021108179,0.10133575197889182,-0.5649736147757256,0.24760827075403768,0.0918150882594786,-0.4191716715879673,0.13666666666666666,2.8783870967741936,90312.0,-45448.0,5610.0,12.36
2010-09-01,9721.0,0.3992387614442959,0.0692315605390392,0.17446764736138257,0.24040736549737682,0.024449362419643794,-0.032152225355674524,0.10294703918198489,0.15666666666666668,2.78453125,84093.7,-21096.0,5600.0,10.985
2010-06-01,9489.0,0.37928127305300874,0.06154494678048266,0.15818315944778163,0.043629465697122984,-0.0037795275590550848,0.025380831455097397,0.19769045607322733,0.14666666666666667,3.4925,74331.76,-22358.0,5620.0,9.04
2010-03-01,9525.0,0.3946456692913386,0.06173228346456693,0.1320734908136483,0.057532808398950135,0.03510106498587273,-0.009341890239889294,0.1663534188744642,0.10666666666666667,3.717868852459016,72951.69,-23310.0,5644.0,8.685
2009-12-01,9202.0,0.38893718756792,0.06422516844164312,0.11323625298848077,0.14985872636383396,0.014889158486820264,-0.002968054647891183,-0.4126355229710783,0.05666666666666665,3.464032258064516,78916.45999999999,-23673.0,5674.0,9.415
2009-09-01,9067.0,0.38711812065732876,0.043013124517480975,0.19278702988860705,-0.03749862137421418,0.030106793910474883,-0.014867366330498122,0.2395262506059308,0.15666666666666668,3.5178125,73763.22,-25025.0,5724.0,8.43
2009-06-01,8802.0,0.3778686662122245,0.02306294024085435,0.15553283344694388,0.037945921381504204,-0.015215931975833485,0.029170805366488528,0.1311248700966512,0.17333333333333334,3.32079365079365,75049.07999999999,-25257.0,5754.0,8.44
2009-03-01,8938.0,0.39550234951890806,0.04743790557171627,0.1375027970463191,0.06903110315506825,0.01165817770232036,-0.009323549990642221,-0.060450725518770954,0.21333333333333332,2.7362295081967214,69542.4,-26249.0,5782.0,7.23
2008-12-01,8835.0,0.3898132427843803,0.052178834182229766,0.14634974533106962,0.06632710809281267,0.00798630918425558,-0.008658586284540193,-0.25116432117523335,0.2966666666666667,3.234677419354839,66108.32,-27753.0,5780.0,6.82
2008-09-01,8765.0,0.3844837421563035,0.019281232173417,0.19543639475185395,-0.16851112378779234,0.02526611299567194,-0.009403522532800745,0.2793152670241956,1.4933333333333334,3.8621875,75155.6,-26716.0,5776.0,8.44
2008-06-01,8549.0,0.3786407766990291,0.04690607088548368,0.1527664054275354,-0.03555971458650135,-0.0004676721618145363,0.021623498057132373,0.005085435093623136,1.6266666666666667,3.8815625,83734.1,-25866.0,5840.0,9.815
2008-03-01,8553.0,0.39179235356015435,0.053197708406407106,0.1519934525897346,0.10019876066877119,0.019549409941590268,-0.021619569322365195,-0.10896361021992773,2.043333333333333,3.6652459016393437,82458.48999999999,-25433.0,5940.0,9.485
2007-12-01,8389.0,0.3783526046012636,0.060555489331267136,0.1705805221122899,-0.0016688520681845274,0.04679311205390557,0.010113995686430455,-0.1314915475172228,3.39,4.266612903225806,82077.51999999999,-25226.0,6034.0,9.67
2007-09-01,8014.0,0.3845769902670327,0.04991265285749938,0.19640628899426005,-0.37159970052408287,0.029944737180310987,-0.013065449560548559,0.0014661432924885087,4.303333333333334,4.7384126984126995,79066.68000000001,-22549.0,6156.0,9.13
2007-06-01,7781.0,0.37642976481172086,0.05410615602107698,0.19611875080323865,0.25575118879321423,0.008947095435684727,0.023185883781278394,-0.05706495873156081,4.736666666666666,4.84609375,97190.45999999999,-22132.0,6236.0,12.09
2007-03-01,7712.0,0.39056016597510373,0.0587396265560166,0.20798755186721993,-0.02308091286307054,0.04385489983757451,-0.026477514859257423,0.05681707922628676,4.983333333333333,4.679032258064517,109036.32,-21096.0,6294.0,14.06
2006-12-01,7388.0,0.3739848402815376,0.07119653492149432,0.19680563075257174,-0.4221710882512182,0.05077513867159711,-0.05910376486094304,0.029568742426586248,4.903333333333333,4.630645161290323,82092.825,-20149.0,6322.0,12.975
